id,rtti_name,short_name,vtable_rva
425,ShieldRepairedEvent,shieldrepaired,0x2ba8898
426,ShipBuiltEvent,shipbuilt,0x2baa690
427,ShootTargetRemovedEvent,shoottargetremoved,0x2ba6170
428,ShootTargetSetEvent,shoottargetset,0x2ba69c0
429,SignalLeakRepairedEvent,signalleakrepaired,0x2ba65d0
430,SignalLeaksCreatedEvent,signalleakscreated,0x2ba6b10
431,SignalNextEnvMapProbeRenderEvent,signalnextenvmapproberender,0x2baf3b0
432,SignalUnlockFailedEvent,signalunlockfailed,0x2ba6758
433,SignalUnlockFinishedEvent,signalunlockfinished,0x2ba6720
434,SignalUnlockImpossibleEvent,signalunlockimpossible,0x2ba6608
435,SignalUnlockStartedEvent,signalunlockstarted,0x2ba66b0
436,SpaceReservationExpiredEvent,spacereservationexpired,0x2baa8f8
437,SpawnSurfaceAttachmentEvent,spawnsurfaceattachment,0x2ba6bb8
438,SpeakFinishedEvent,speakfinished,0x2ba76a8
439,SpeakLineFinishedEvent,speaklinefinished,0x2ba7718
440,SpeakTimerTriggeredEvent,speaktimertriggered,0x2ba7670
441,StanceActivatedEvent,stanceactivated,0x2ba5db8
442,StartAmmunitionReloadEvent,startammunitionreload,0x2b8a480
443,StartBoostEvent,startboost,0x2bafd88
444,StartControlEvent,startcontrol,0x2b48d28
445,StartDialogEvent,startdialog,0x2bafc00
446,StartedAimingEvent,startedaiming,0x2ba61e0
447,StartedShootingEvent,startedshooting,0x2b681d0
448,StartPhaseEvent,startphase,0x2ba5920
449,StartTravelModeEvent,starttravelmode,0x2bafc38
450,StationBuiltEvent,stationbuilt,0x2baa738
451,StopBoostEvent,stopboost,0x2ae9930
452,StopCameraAnimationEvent,stopcameraanimation,0x2b48a88
453,StopControlEvent,stopcontrol,0x2b48d98
454,StopDialogEvent,stopdialog,0x2bafbc8
455,StopEnvMapProbeRenderEvent,stopenvmapproberender,0x2ba5510
456,StoppedAimingEvent,stoppedaiming,0x2b68240
457,StoppedShootingEvent,stoppedshooting,0x2b68208
458,StopSoundEvent,stopsound,0x2ba7be8
459,StopTravelModeEvent,stoptravelmode,0x2bab068
460,SubordinateAddedEvent,subordinateadded,0x2ba9158
461,SubordinatePromotedEvent,subordinatepromoted,0x2ba8f60
462,SubordinateRemovedEvent,subordinateremoved,0x2ba8f28
463,SupplyOrderWaresAddedEvent,supplyorderwaresadded,0x2ba7360
464,SupplyOrderWaresRemovedEvent,supplyorderwaresremoved,0x2ba7248
465,SupplyWaresAddedEvent,supplywaresadded,0x2ba72f0
466,SupplyWaresRemovedEvent,supplywaresremoved,0x2ba7398
467,TakeShipFromStorageEvent,takeshipfromstorage,0x2ba6800
468,TargetInvalidEvent,targetinvalid,0x2ba9120
469,TargetLostEvent,targetlost,0x2ba7da8
470,TeleportEvent,teleport,0x2ba9890
471,TeleportFailedEvent,teleportfailed,0x2ba9740
472,TeleportSuccessfulEvent,teleportsuccessful,0x2ba9858
473,TempComponentAddedEvent,tempcomponentadded,0x2ba7c20
474,TempComponentRemovedEvent,tempcomponentremoved,0x2ba7b08
475,TempZoneAddedEvent,tempzoneadded,0x2ba80b8
476,TempZoneRemovedEvent,tempzoneremoved,0x2ba7fa0
477,TerraformingEventAvailableEvent,terraformingeventavailable,0x2ba63d8
478,TerraformingEventCompletedEvent,terraformingeventcompleted,0x2ba6330
479,TerraformingEventStartedEvent,terraformingeventstarted,0x2ba6368
480,TerraformingHabitabilityChangedEvent,terraforminghabitabilitychanged,0x2ac14a8
481,TerraformingProjectAvailableEvent,terraformingprojectavailable,0x2ba6480
482,TerraformingProjectCompletedEvent,terraformingprojectcompleted,0x2ba6448
483,TerraformingProjectFailedEvent,terraformingprojectfailed,0x2ba64b8
484,TerraformingProjectProductionStartedEvent,terraformingprojectproductionstarted,0x2ba6598
485,TerraformingProjectStartedEvent,terraformingprojectstarted,0x2ba6560
486,TerraformingProjectSucceededEvent,terraformingprojectsucceeded,0x2ba6410
487,TerraformingStatAddedEvent,terraformingstatadded,0x2ba63a0
488,TerraformingStatChangedEvent,terraformingstatchanged,0x2ba6250
489,TerraformingStatRemovedEvent,terraformingstatremoved,0x2ba6288
490,TimeWarpCancelledEvent,timewarpcancelled,0x2b48cb8
491,TimeWarpFailedEvent,timewarpfailed,0x2b48cf0
492,TimeWarpStartedEvent,timewarpstarted,0x2b32818
493,TimeWarpStoppedEvent,timewarpstopped,0x2b32850
494,TradeCancelledEvent,tradecancelled,0x2bab0d8
495,TradeCargoArrivedEvent,tradecargoarrived,0x2baab60
496,TradeCargoDepartedEvent,tradecargodeparted,0x2baab98
497,TradeCargoDestroyedEvent,tradecargodestroyed,0x2bab110
498,TradeCompletedEvent,tradecompleted,0x2baaaf0
499,TradeStartedEvent,tradestarted,0x2baab28
500,TrafficLevelChangedEvent,trafficlevelchanged,0x2ba81d0
501,TransitionEvent,transition,0x2ba9f90
502,TransportedToOffsetEvent,transportedtooffset,0x2ba97e8
503,TravelDisabledEvent,traveldisabled,0x2bafc70
504,TravelModeChargeAbortedEvent,travelmodechargeaborted,0x2b48dd0
505,TravelModeChargeStartedEvent,travelmodechargestarted,0x2baaf50
506,TravelModeStartedEvent,travelmodestarted,0x2b48e40
507,TravelModeStoppedEvent,travelmodestopped,0x2b48e08
508,TriggerAnimationEvent,triggeranimation,0x2bab1f0
509,TryEjectRecyclableEvent,tryejectrecyclable,0x2ba5840
510,TurretActivatedEvent,turretactivated,0x2ba6950
511,TurretDeactivatedEvent,turretdeactivated,0x2ba69f8
512,TurretRangeRequestedEvent,turretrangerequested,0x2ba70f8
513,UITriggeredEvent,uitriggered,0x2ba6e90
514,UndockedEvent,undocked,0x2ba9660
515,UndockingClearedEvent,undockingcleared,0x2ae97e0
516,UndockingQueuedEvent,undockingqueued,0x2ac1630
517,UndockingStartedEvent,undockingstarted,0x2ba9628
518,UnitDestroyedEvent,unitdestroyed,0x2ba78a0
519,UnitStartedBuildingEvent,unitstartedbuilding,0x2b9e810
520,UnitStartedRepairingEvent,unitstartedrepairing,0x2b9e7a0
521,UnitStoppedBuildingEvent,unitstoppedbuilding,0x2b9e848
522,UnitStoppedRepairingEvent,unitstoppedrepairing,0x2b9e7d8
523,UniverseGeneratedEvent,universegenerated,0x2bafd18
524,UnlockPlatformTriggersEvent,unlockplatformtriggers,0x2ba5f78
525,UpdateBuildEvent,updatebuild,0x2ac1710
526,UpdateDismantlingEvent,updatedismantling,0x2ae99a0
527,UpdateEngineParametersEvent,updateengineparameters,0x2baf650
528,UpdateGravidarAccessEvent,updategravidaraccess,0x2baf880
529,UpdateGravidarCloakFactorEvent,updategravidarcloakfactor,0x2baf8f0
530,UpdateGravidarScanRadiusEvent,updategravidarscanradius,0x2baf928
531,UpdateHoloMapEvent,updateholomap,0x2ac14e0
532,UpdateMassTrafficInvolvementEvent,updatemasstrafficinvolvement,0x2b96e60
533,UpdateTradeOffersEvent,updatetradeoffers,0x2ac17b8
534,UpdateZoneEvent,updatezone,0x2b48b30
535,VentureAbortedEvent,ventureaborted,0x2ba6ad8
536,VentureCompletedEvent,venturecompleted,0x2ba6aa0
537,VentureShipAddedEvent,ventureshipadded,0x2ba5b18
538,VentureShipRemovedEvent,ventureshipremoved,0x2ba5ae0
539,VerifyPathPointsEvent,verifypathpoints,0x2ba6f00
540,VoiceOutputEvent,voiceoutput,0x2ae9968
541,VolatileWaresAddedEvent,volatilewaresadded,0x2ba6cd0
542,VolatileWaresRemovedEvent,volatilewaresremoved,0x2ba6d78
543,WarpEvent,warp,0x2baa8c0
544,WeaponActivatedEvent,weaponactivated,0x2ba8c18
545,WeaponAmmoChangedEvent,weaponammochanged,0x2ba5fb0
546,WeaponDeactivatedEvent,weapondeactivated,0x2ba8400
547,WeaponFiredEvent,weaponfired,0x2ba8e80
548,WeaponFireRangeRequestedEvent,weaponfirerangerequested,0x2ba7050
549,WeaponGroupActivatedEvent,weapongroupactivated,0x2ba83c8
550,WeaponGroupChangedEvent,weapongroupchanged,0x2ae9738
551,WeaponGroupDeactivatedEvent,weapongroupdeactivated,0x2ba8470
552,WeaponOverheatedEvent,weaponoverheated,0x2b8a528
553,WeaponShootTargetRemovedEvent,weaponshoottargetremoved,0x2ba6218
554,WeaponShootTargetSetEvent,weaponshoottargetset,0x2ba61a8
555,WeaponStartedAimingEvent,weaponstartedaiming,0x2ba60c8
556,WeaponStartedShootingEvent,weaponstartedshooting,0x2ba6138
557,WeaponStoppedAimingEvent,weaponstoppedaiming,0x2ba6090
558,WeaponStoppedShootingEvent,weaponstoppedshooting,0x2ba6100
559,ZoneAddedEvent,zoneadded,0x2ba8048
560,ZoneRemovedEvent,zoneremoved,0x2ba80f0
